start
[1, 0.384448, -1.176, 0.288637, 0.17197727, 50.58002243749797]
[2, 0.388263, -0.819, 0.124929, 0.204846, 25.0883]
[1, 0.37045399999999995, -1.302, 0.326501, 0.26179704, 50.93505056574941]
[2, 0.37961999999999996, -0.873, 0.971396, 0.626417, 27.1151]
[1, 0.37661500000000003, -1.108, 0.927073, 0.91252077, 50.65241027623415]
[2, 0.40127100000000004, -0.819, 0.640146, 0.661008, 26.450200000000002]
[1, 0.373281, -1.207, 0.022486, 0.18749455, 50.949170254170895]
[2, 0.376876, -1.129, 0.481524, 0.271797, 27.1171]
[1, 0.35622699999999996, -1.379, 0.015841, 0.21443765, 49.78697281330824]
[2, 0.367633, -1.158, 0.722287, 0.163582, 31.653200000000002]
[1, 0.353449, -1.363, 0.400671, 0.40826833, 50.08339724736288]
[2, 0.37524599999999997, -1.082, 0.282417, 0.227783, 31.71395]
[1, 0.359059, -1.3, 0.669485, 0.50580204, 48.64415265619755]
[2, 0.38360099999999997, -0.993, 0.450002, 0.606319, 34.6952]
[1, 0.352572, -1.432, 0.063563, 0.24095319, 48.80267046391964]
[2, 0.38469, -0.904, 0.022648, 0.233156, 36.412]
[1, 0.374366, -1.196, 0.223576, 0.35132217, 49.25579414702952]
[2, 0.394292, -0.999, 0.207481, 0.20499, 33.3591]
[1, 0.409249, -0.867, 0.6235, 0.5149927, 49.30712557397783]
[2, 0.42215400000000003, -0.553, 0.080438, 0.15768, 32.34310000000001]
[1, 0.424728, -0.757, 0.500003, 0.66009086, 48.94215911626816]
[2, 0.48184400000000005, -0.045, 0.909216, 0.565371, 30.459099999999996]
[1, 0.42566499999999996, -0.853, 0.29032, 0.34780395, 49.47226229123771]
[2, 0.48643800000000004, 0.04, 0.887282, 0.941054, 33.3009]
[1, 0.468611, -0.364, 0.7608, 0.65413797, 49.75916633848101]
[2, 0.41463300000000003, -0.695, 0.010688, 0.693437, 38.5071]
[1, 0.506985, 0.592, 0.991452, 0.99698025, 47.27582521736622]
[2, 0.64538, 1.763, 0.321699, 0.469624, 31.804100000000002]
[1, 0.787267, 4.009, 0.944628, 0.7465631, 50.391300953924656]
[2, 0.843314, 4.877, 0.83179, 0.431198, 17.7658]
[1, 0.891343, 5.606, 0.020178, 0.32926896, 51.19100920855999]
[2, 0.703562, 2.493, 4.9e-05, 0.261303, 15.168700000000001]
[1, 0.916131, 6.408, 0.929164, 0.7496563, 49.4774398393929]
[2, 0.933594, 7.326, 0.187146, 0.247377, 11.098600000000005]
[1, 0.9451735, 6.948, 0.258444, 0.380025, 58.184705674648285]
[2, 0.932813, 7.078, 0.067111, 0.388882, 10.841900000000003]
[1, 0.946607, 6.826, 0.209397, 0.4037046, 59.26201716065407]
[2, 0.922614, 6.203, 0.588513, 0.695624, 10.8703]
[1, 0.932208, 6.254, 0.87158, 0.8721753, 59.35932546854019]
[2, 0.929382, 6.88, 0.004379, 0.17136, 12.011700000000005]
[1, 0.944119, 7.124, 0.093089, 0.51136637, 56.90167099237442]
[2, 0.91987, 6.425, 0.641634, 0.588248, 12.7699]
[1, 0.917811, 5.949, 0.111186, 0.67117894, 55.926961451768875]
[2, 0.893795, 5.878, 0.294439, 0.141681, 14.447900000000004]
